                                     | Core 0    
  Instructions                       |     182961
  Cycles                             |     425223
  IPC                                |       0.43
  Time (ns)                          |     159858
  Idle time (ns)                     |      76648
  Idle time (%)                      |      47.9%
Branch predictor stats               |           
  num correct                        |      13004
  num incorrect                      |          6
  misprediction rate                 |      0.05%
  mpki                               |       0.03
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      31012
    num cache misses                 |         12
    miss rate                        |      0.04%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |     124035
    num cache misses                 |          9
    miss rate                        |      0.01%
    mpki                             |       0.05
  Cache L2                           |           
    num cache accesses               |         23
    num cache misses                 |         21
    miss rate                        |     91.30%
    mpki                             |       0.11
  Cache L3                           |           
    num cache accesses               |         23
    num cache misses                 |         21
    miss rate                        |     91.30%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |         21
  average dram access latency (ns)   |     108.82
  average dram queueing delay        |      55.39
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          5
  num loads from dram cache          |          0
  num loads from remote cache        |          0
